_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;val_6;val_7;val_8;confianca
GO;CAMPINORTE;municipio;216.0;83.0;195.0;92.0;35.0;;163.0;;alta
GO;ESTRELA DO NORTE;municipio;93.0;39.0;76.0;38.0;;;69.0;;alta
GO;FORMOSO;municipio;568.0;226.0;477.0;239.0;86.0;75.0;385.0;;alta
GO;MARA ROSA;municipio;1186.0;226.0;1122.0;265.0;258.0;339.0;877.0;;alta
GO;MINAÇU;municipio;455.0;415.0;434.0;91.0;37.0;71.0;363.0;;alta
GO;MUTUNOPOLIS;municipio;295.0;127.0;242.0;149.0;110.0;98.0;203.0;;alta
GO;NIQUELANDIA;municipio;943.0;146.0;895.0;345.0;165.0;208.0;644.0;;alta
GO;PORANGATU;municipio;792.0;332.0;620.0;224.0;195.0;108.0;479.0;;alta
GO;SANTA TEREZA DE GOIAS;municipio;122.0;46.0;106.0;37.0;17.0;27.0;79.0;;alta
GO;SANTA TEREZINHA DE GOIAS;municipio;720.0;455.0;536.0;557.0;235.0;170.0;388.0;;alta
GO;URlJAÇU;municipio;624.0;198.0;527.0;232.0;80.0;91.0;488.0;;alta
GO;CHAPADA DOS VEADEIROS;microrregiao;1379.0;154.0;361.0;312.0;288.0;251.0;899.0;;alta
GO;ALTO PARAIS O DE GO(AS;municipio;86.0;12.0;85.0;57.0;58.0;23.0;52.0;;alta
GO;CAMPOS BELOS;municipio;195.0;28.0;191.0;21.0;58.0;14.0;171.0;;alta
GO;CAVALCANTE;municipio;448.0;;444.0;166.0;90.0;103.0;244.0;;alta
GO;MONTE ALEGRE DE GOIAS;municipio;241.0;26.0;233.0;60.0;27.0;44.0;170.0;;alta
GO;NOVA ROMA;municipio;168.0;155.0;23.0;23.0;46.0;16.0;113.0;;alta
GO;SÂO .JOÃO D' ALIANÇA;municipio;241.0;64.0;197.0;34.0;56.0;58.0;149.0;;alta
GO;CENTRO GOIANO;mesorregiao;25900.0;15453.0;18426.0;6568.0;5080.0;5710.0;13324.0;;alta
GO;CERES;microrregiao;7011.0;3336.0;5210.0;1540.0;229.0;703.0;;;alta
GO;BARRO Al TO;municipio;479.0;200.0;400.0;95.0;41.0;118.0;;;alta
GO;CARMO DO RIO VERDE;municipio;450.0;172.0;407.0;130.0;36.0;72.0;;;alta
GO;CERES;municipio;569.0;430.0;376.0;82.0;73.0;78.0;;;alta
GO;GOIANESIA;municipio;496.0;215.0;388.0;62.0;111.0;69.0;;;alta
GO;HIDROLINA;municipio;188.0;76.0;180.0;24.0;19.0;21.0;;;alta
GO;ITAPACI;municipio;607.0;210.0;548.0;314.0;192.0;280.0;;;alta
GO;I T APURANGA;municipio;1445.0;974.0;785.0;179.0;215.0;310.0;;;alta
GO;NOVA AMERICA;municipio;119.0;44.0;95.0;;15.0;;;;alta
GO;NOVA GLORIA;municipio;341.0;219.0;207.0;129.0;66.0;79.0;;;alta
GO;PI LAR DE GOIAS;municipio;559.0;119.0;486.0;27.0;70.0;35.0;;;alta
GO;RIALMA;municipio;120.0;78.0;91.0;71.0;20.0;47.0;;;alta
GO;RIANAPOLIS;municipio;87.0;56.0;53.0;;;12.0;;;alta
GO;RUBIATABA;municipio;664.0;265.0;430.0;32.0;47.0;134.0;;;alta
GO;SANTA ISABEL;municipio;223.0;134.0;151.0;25.0;21.0;27.0;;;alta
GO;URUANA;municipio;664.0;144.0;613.0;355.0;300.0;412.0;;;alta
GO;ANAPOLIS;microrregiao;1202.0;4534.0;4807.0;1154.0;379.0;1520.0;;;alta
GO;ANAPOLIS;municipio;861.0;486.0;634.0;208.0;349.0;195.0;;;alta
GO;ARAÇU;municipio;112.0;36.0;91.0;13.0;10.0;37.0;;;alta
GO;BRAZABRANTES;municipio;59.0;;58.0;10.0;24.0;13.0;;;alta
GO;CATURAI;municipio;263.0;183.0;180.0;31.0;33.0;61.0;;;alta
GO;OAMOLANDIA;municipio;95.0;31.0;88.0;;12.0;;;;alta
GO;HEI TORAI;municipio;167.0;119.0;81.0;23.0;31.0;40.0;;;alta
GO;INHUMAS;municipio;789.0;413.0;664.0;79.0;114.0;149.0;;;alta
GO;ITABERAI;municipio;1013.0;750.0;655.0;260.0;193.0;322.0;;;alta
GO;ITAGUARU;municipio;394.0;246.0;260.0;58.0;43.0;140.0;;;alta
GO;ITAUÇU;municipio;282.0;185.0;195.0;22.0;39.0;48.0;;;alta
GO;JARAGUA;municipio;1080.0;747.0;478.0;65.0;196.0;88.0;;;alta
GO;NOVA VENEZA;municipio;184.0;139.0;114.0;19.0;36.0;20.0;;;alta
GO;OURO VERDE DE GOIAS;municipio;178.0;96.0;139.0;;23.0;15.0;;;alta
GO;PETROLINA DE GOIAS;municipio;595.0;424.0;393.0;28.0;94.0;36.0;;;alta
GO;SANTA ROSA DE GOIAS;municipio;174.0;;170.0;11.0;;10.0;;;alta
GO;SÃO FRANCISCO DE GOIAS;municipio;492.0;287.0;306.0;138.0;100.0;117.0;;;alta
