_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;confianca
BA;A aso;mesorregiao;3333.0;2928.0;44.0;;;baixa
BA;ANTONIO GONÇALVES;municipio;285.0;981.0;981.0;469.0;469.0;baixa
BA;CALDEIRÃO GRANDE;municipio;;561.0;;552.0;;baixa
BA;CAMPO FORMOSO;municipio;;2801.0;;2789.0;;baixa
BA;JAGUARAR;municipio;1.0;445.0;;445.0;;baixa
BA;MIRANGABA;municipio;;1293.0;;1286.0;;baixa
BA;-INDOBAÇU;municipio;;396.0;;396.0;;baixa
BA;SAUDE;municipio;;149.0;;149.0;;baixa
BA;SENHOR DO BONFIM;municipio;138.0;489.0;489.0;25.0;25.0;baixa
BA;CORREDEIRAS DO SÃO FRANCISCO;microrregiao;552.0;4769.0;4748.0;1347.0;1329.0;baixa
BA;ABARE;municipio;;405.0;;402.0;;baixa
BA;CHORROCHO;municipio;;;;;;baixa
BA;CURAÇA;municipio;;852.0;;849.0;;baixa
BA;JUAZEIRO;municipio;;3215.0;;3200.0;;baixa
BA;MACURURE;municipio;;;;;;baixa
BA;RODELAS;municipio;;289.0;;289.0;;baixa
BA;LESTE BAIANO;microrregiao;;124277.0;;122447.0;;baixa
BA;PIEMONTE DA DIAMANTINA;municipio;4555.0;18179.0;3293.0;3127.0;;baixa
BA;BAIXA GRANDE;municipio;;771.0;;766.0;;baixa
BA;BOA VISTA DO TUPIM;municipio;130804.0;168.0;860.0;859.0;110.0;baixa
BA;CAEM;municipio;;1563.0;;1559.0;;baixa
BA;IBIQUERA;municipio;;696.0;;696.0;;baixa
BA;ITABERABA;municipio;;1454.0;;1449.0;;baixa
BA;JACOBINA;municipio;;5224.0;;507.0;;baixa
BA;LAJEDINHO;municipio;;268.0;;268.0;;baixa
BA;MACAJUBA;municipio;;261.0;;246.0;;baixa
BA;MAIRI;municipio;;706.0;;697.0;;baixa
BA;MIGUEL CALMON;municipio;478.0;1351.0;1333.0;317.0;298.0;baixa
BA;MUNDO NOVO;municipio;;1358.0;;1350.0;;baixa
BA;PIRITIBA;municipio;;755.0;;751.0;;baixa
BA;RUY BARBOSA;municipio;;1305.0;;1299.0;;baixa
