_uf;_label;_level;estab_proprietario;area_ha_proprietario;estab_arrendatario;area_ha_arrendatario;estab_parceiro;area_ha_parceiro;estab_ocupante;area_ha_ocupante;confianca
BA;IBITIARA;municipio;;4739.0;;53.0;11.0;27.0;83.0;380.0;media
BA;IPUPIARA;municipio;;1013.0;;;;57.0;120.0;984.0;media
BA;IRAMAIA;municipio;;963.0;;16.0;;432.0;159.0;1459.0;media
BA;RAQUARA;municipio;;1964.0;;116.0;230.0;748.0;412.0;1572.0;media
BA;ITAETE;municipio;;665.0;;1034.0;169.0;728.0;233.0;1032.0;media
BA;(TUAÇU;municipio;;1861.0;;769.0;40.0;285.0;184.0;16541.0;media
BA;JUSSIAPE;municipio;;1360.0;;;;200.0;;;media
BA;LENÇOIS;municipio;;139.0;;;;529.0;165.0;552.0;media
BA;MACAUBAS;municipio;;4984.0;;67.0;66.0;360.0;469.0;2734.0;media
BA;MUCUGE;municipio;;827.0;;;97.0;998.0;150.0;778.0;media
BA;OLIVEIRA DOS BREJINHOS;municipio;;2925.0;;585.0;37.0;855.0;146.0;2219.0;media
BA;PALMEIRAS;municipio;;517.0;;;10.0;57.0;29.0;288.0;media
BA;PARAMIRIM;municipio;;3743.0;;78.0;83.0;2901.0;68.0;611.0;media
BA;PIATÂ;municipio;;3638.0;;;;;;16.0;media
BA;RIO DE CONTAS;municipio;;1636.0;;225.0;;84.0;97.0;1456.0;media
BA;RIO DO PIRES;municipio;;1492.0;;46.0;34.0;129.0;281.0;52.0;media
BA;SEABRA;municipio;;3101.0;;35.0;50.0;149.0;144.0;1870.0;media
BA;TANHAÇU;municipio;;1246.0;;379.0;28.0;853.0;352.0;5531.0;media
BA;UTINGA;municipio;;1121.0;;200.0;;;;107.0;media
BA;WAGNER;municipio;;216.0;;;;;;512.0;media
BA;SERRA GERAL DA BAHIA;microrregiao;;47181.0;;54142.0;1175.0;10023.0;13015.0;123235.0;media
BA;ARACATU;municipio;;1306.0;;17.0;;180.0;997.0;162241.0;media
BA;BRUMAOO;municipio;;2747.0;;226.0;;188.0;575.0;5832.0;media
BA;CACULE;municipio;;475.0;;460.0;10.0;134.0;219.0;2115.0;media
BA;CAETITE;municipio;;5459.0;;30.0;70.0;1435.0;612.0;7629.0;media
BA;CANO( BA;municipio;;1230.0;;128.0;91.0;617.0;794.0;3271.0;media
BA;CONDEUBA;municipio;;2837.0;;221.0;;621.0;220.0;6595.0;media
BA;CORDEIROS;municipio;;740.0;;;;52.0;230.0;2701.0;media
BA;DOM BASILIO;municipio;;1447.0;;54.0;27.0;504.0;56.0;436.0;media
BA;GUANAMB I;municipio;;2491.0;;955.0;135.0;954.0;1555.0;8871.0;media
BA;IBIASSUCE;municipio;;1365.0;;;;96.0;67.0;1266.0;media
BA;IGAPORÃ;municipio;;1154.0;;;27.0;332.0;58.0;597.0;media
BA;JACARACI;municipio;;1981.0;;253.0;28.0;349.0;494.0;6944.0;media
BA;LICINIO DE ALMEIDA;municipio;;141.0;;45.0;19.0;105.0;294.0;2722.0;media
BA;LIVRAMENTO DO BRUMADO;municipio;;2760.0;;189.0;;97.0;424.0;5005.0;media
BA;MALHADA DE PEDRAS;municipio;;1096.0;;;;;381.0;2019.0;media
BA;MORTUGABA;municipio;;1261.0;;25.0;;;127.0;1778.0;media
BA;PALMAS DE MONTE ALTO;municipio;;586.0;;1389.0;19.0;941.0;489.0;7463.0;media
BA;PINDAI;municipio;;1646.0;;117.0;130.0;560.0;1342.0;5187.0;media
